mint,closed_trades,gross_realized_usd,net_closed_usd,gap_flagged_trades
5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,11,0.3488907302789654,0.2704576381097198,8
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0,0,0,0
6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,5,0.2985797337684779,0.25738541483340394,2
6NwarBvDkXhByqVp2Qkq5i9XbtA2B3Bwe8SWGu9vpump,0,0,0,0
6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,0,0,0,0
8XtRWb4uAAJFMP4QQhoYYCWR6XXb7ybcCdiqPwz9s5WS,0,0,0,0
9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,0,0,0,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0,0,0,0
9Pfync3ejPC9eHqVzq3nYQJAhyhjqpnB9UsaSfLxpump,0,0,0,0
B5WTLaRwaUQpKk7ir1wniNB6m5o8GgMrimhKMYan2R6B,0,0,0,0
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,0,0,0,0
Cy1GS2FqefgaMbi45UunrUzin1rfEmTUYnomddzBpump,0,0,0,0
DQnkBM4eYYMnVE8Qy2K3BB7uts1fh2EwBVktEz6jpump,0,0,0,0
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,0,0,0,0
DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,0,0,0,0
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,2,0.20393687256906112,0.18712112507878487,2
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,0,0,0,0
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,1,-0.10282162436406472,-0.11041033786660846,1
H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,0,0,0,0
HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,0,0,0,0
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,0,0,0,0
KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,0,0,0,0
METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,0,0,0,0
PerPsCe2SJ7Q25CN4R5TTX4fmBdmknE2hQmqCt96fHL,3,-0.4433566042842295,-0.4655831778670926,3
SV151D5pjygAKA8aJJcKzm4wFnRX5G92Fye94jQJk7g,0,0,0,0
